Woonplaats,Gemeente,Provincie,Latitude,Longitude
Anjum,Dongeradeel,Friesland,53.36666700,6.13333300
Ankeveen,Wijdemeren,Noord-Holland,52.26666700,5.10000000
Anloo,Aa en Hunze,Drenthe,53.05000000,6.70000000
Anna Paulowna,Anna Paulowna,Noord-Holland,52.86666700,4.86666700
Annen,Aa en Hunze,Drenthe,53.06666700,6.73333300
Annerveenschekanaal,Aa en Hunze,Drenthe,53.08333300,6.80000000
Ansen,De Wolden,Drenthe,52.78333300,6.33333300
Apeldoorn,Apeldoorn,Gelderland,52.21666700,5.96666700
Appelscha,Ooststellingwerf,Friesland,52.95000000,6.36666700
Appeltern,West Maas en Waal,Gelderland,51.83333300,5.58333300
Appingedam,Appingedam,Groningen,53.31666700,6.86666700
Arcen,Venlo,Limburg,51.48333300,6.18333300
Arkel,Giessenlanden,Zuid-Holland,51.86666700,5.00000000
Arnemuiden,Middelburg,Zeeland,51.50000000,3.66666700
Arnhem,Arnhem,Gelderland,51.98333300,5.91666700
Arriën,Ommen,Overijssel,52.53333330,6.45000000
Arum,Wûnseradiel,Friesland,53.13333300,5.48333300
Asch,Buren,Gelderland,51.93333300,5.31666700
Asperen,Lingewaal,Gelderland,51.88333300,5.11666700
Assen,Assen,Drenthe,53.00000000,6.55000000
Assendelft,Zaanstad,Noord-Holland,52.46666700,4.75000000
Asten,Asten,Noord-Brabant,51.40000000,5.75000000
Augsbuurt,Kollumerland en Nieuwkruisland,Friesland,53.26666700,6.16666700
Augustinusga,Achtkarspelen,Friesland,53.21666700,6.16666700
Austerlitz,Zeist,Utrecht,52.08333300,5.31666700
Avenhorn,Koggenland,Noord-Holland,52.61666700,4.95000000
Axel,Terneuzen,Zeeland,51.26666700,3.91666700
Azewijn,Montferland,Gelderland,51.88333300,6.30000000
Baaiduinen,Terschelling,Friesland,53.38333300,5.28333300
Baaium,Littenseradiel,Friesland,,
Baak,Bronckhorst,Gelderland,52.08333300,6.23333300
Baambrugge,Abcoude,Utrecht,52.25000000,4.98333300
Baard,Littenseradiel,Friesland,53.15000000,5.66666700
Baarland,Borsele,Zeeland,51.41666700,3.88333300
Baarle-Nassau,Baarle-Nassau,Noord-Brabant,51.45000000,4.93333300
Baarlo,Peel en Maas,Limburg,51.33333300,6.10000000
Baarlo,Zwartewaterland,Overijssel,52.73830000,5.95000000
Baarn,Baarn,Utrecht,52.21666700,5.28333300
Baars,Steenwijkerland,Overijssel,52.81666700,6.08333300
Babberich,Zevenaar,Gelderland,51.90000000,6.11666700
Babyloniënbroek,Aalburg,Noord-Brabant,51.75000000,5.05000000
Bad Nieuweschans,Oldambt,Groningen,53.18333300,7.20000000
Badhoevedorp,Haarlemmermeer,Noord-Holland,52.33333300,4.78333300
Baexem,Leudal,Limburg,51.23333300,5.88333300
Baflo,Winsum,Groningen,53.36666700,6.51666700
Bakel,Gemert-Bakel,Noord-Brabant,51.50000000,5.75000000
Bakhuizen,Gaasterlân-Sleat,Friesland,52.86666700,5.45000000
Bakkeveen,Opsterland,Friesland,53.08333300,6.25000000
Balgoij,Wijchen,Gelderland,51.78000000,5.71390000
Balinge,Midden-Drenthe,Drenthe,52.81666700,6.65000000
Balk,Gaasterlân-Sleat,Friesland,52.90000000,5.58333300
Balkbrug,Hardenberg,Overijssel,52.60000000,6.38333300
Balloërveld,Aa en Hunze,Drenthe,,
Balloo,Aa en Hunze,Drenthe,53.00000000,6.63333300
Ballum,Ameland,Friesland,53.45000000,5.68333300
Baneheide,Simpelveld,Limburg,50.81666670,5.98333330
Banholt,Margraten,Limburg,50.78333300,5.81666700
Bant,Noordoostpolder,Flevoland,52.76666700,5.75000000
Bantega,Lemsterland,Friesland,52.83333300,5.80000000
Barchem,Lochem,Gelderland,52.13333300,6.45000000
Barendrecht,Barendrecht,Zuid-Holland,51.85000000,4.55000000
Barger-Compascuum,Emmen,Drenthe,52.75000000,7.03333300
Barneveld,Barneveld,Gelderland,52.13333300,5.58333300
Barsingerhorn,Niedorp,Noord-Holland,52.78333300,4.85000000
Basse,Steenwijkerland,Overijssel,52.80000000,6.03333300
Batenburg,Wijchen,Gelderland,51.81666700,5.63333300
Bathmen,Deventer,Overijssel,52.25000000,6.28333300
