Woonplaats,Gemeente,Provincie,Latitude,Longitude
Den Haag,Den Haag,Zuid-Holland,52.07670000,4.29860000
Den Ham,Twenterand,Overijssel,52.46580000,6.49580000
Den Ham,Zuidhorn,Groningen,53.24690000,6.45460000
Den Helder,Den Helder,Noord-Holland,52.96666700,4.76666700
Den Hoorn,Midden-Delfland,Zuid-Holland,53.02500000,4.75111111
Den Hoorn,Texel,Noord-Holland,53.12550000,4.89620000
Den Horn,Zuidhorn,Groningen,53.23333300,6.45000000
Den Hout,Oosterhout,Noord-Brabant,51.65750000,4.81250000
Den Ilp,Landsmeer,Noord-Holland,52.45000000,4.91666700
Den Oever,Wieringen,Noord-Holland,52.76666700,6.93333300
Den Velde,Hardenberg,Overijssel,52.60000000,6.70000000
Denekamp,Dinkelland,Overijssel,52.38333300,7.00000000
Deurne,Deurne,Noord-Brabant,51.46666700,5.80000000
Deurningen,Dinkelland,Overijssel,52.30000000,6.83333300
Deurze,Aa en Hunze,Drenthe,52.98333300,6.60000000
Deventer,Deventer,Overijssel,52.25000000,6.20000000
Didam,Montferland,Gelderland,51.93333300,6.13333300
Diemen,Diemen,Noord-Holland,52.33333300,4.98333300
Diepenheim,Hof van Twente,Overijssel,52.20000000,6.55000000
Diepenveen,Deventer,Overijssel,52.28628700,6.14819100
Dieren,Rheden,Gelderland,52.05000000,6.13333300
Diessen,Hilvarenbeek,Noord-Brabant,51.46666700,5.18333300
Diever,Westerveld,Drenthe,52.85000000,6.31666700
Dieverbrug,Westerveld,Drenthe,52.85000000,6.33333300
Diffelen,Hardenberg,Overijssel,52.51666700,6.56666700
Dijken,Skarsterlân,Friesland,52.95090000,5.70940000
Dinteloord,Steenbergen,Noord-Brabant,51.63333300,4.36666700
Dinxperlo,Aalten,Gelderland,51.86666700,6.48333300
Diphoorn,Coevorden,Drenthe,52.76666700,6.81666700
Dirkshorn,Harenkarspel,Noord-Holland,52.75000000,4.78333300
Dirksland,Dirksland,Zuid-Holland,51.75000000,4.10000000
Dodewaard,Neder-Betuwe,Gelderland,51.91666700,5.65000000
Doenrade,Schinnen,Limburg,50.96666700,5.90000000
Doesburg,Doesburg,Gelderland,52.01666700,6.13333300
Doetinchem,Doetinchem,Gelderland,51.96666700,6.30000000
Doezum,Grootegast,Groningen,53.20000000,6.25000000
Dokkum,Dongeradeel,Friesland,53.33333300,6.00000000
Doldersum,Westerveld,Drenthe,52.88333300,6.25000000
Domburg,Veere,Zeeland,51.56666700,3.50000000
Donderen,Tynaarlo,Drenthe,53.10000000,6.55000000
Dongen,Dongen,Noord-Brabant,51.61666700,4.96666700
Dongjum,Franekeradeel,Friesland,53.21666700,5.55000000
Doniaga,Skarsterlân,Friesland,52.90000000,5.75000000
Donkerbroek,Ooststellingwerf,Friesland,53.01666700,6.23333300
Doorn,Utrechtse Heuvelrug,Utrecht,52.03333300,5.35000000
Doornenburg,Lingewaard,Gelderland,51.90000000,6.00000000
Doornspijk,Elburg,Gelderland,52.41666700,5.81666700
Doorwerth,Renkum,Gelderland,51.98333300,5.80000000
Dordrecht,Dordrecht,Zuid-Holland,51.80000000,4.66666700
Dorst,Oosterhout,Noord-Brabant,51.60000000,4.88333300
Drachten,Smallingerland,Friesland,53.10000000,6.10000000
Drachtstercompagnie,Smallingerland,Friesland,53.13333300,6.13333300
Dreischor,Schouwen-Duiveland,Zeeland,51.68333300,3.98333300
Drempt,Bronckhorst,Gelderland,52.00000000,6.16666700
Dreumel,West Maas en Waal,Gelderland,51.85000000,5.43333300
Driebergen-Rijsenburg,Utrechtse Heuvelrug,Utrecht,52.05000000,5.26666667
Drieborg,Oldambt,Groningen,53.20000000,7.18333300
Driebruggen,Reeuwijk,Zuid-Holland,52.05000000,4.80000000
Driehuis,Velsen,Noord-Holland,52.44670000,4.63750000
Driehuizen,Schermer,Noord-Holland,52.57830000,4.80690000
Driel,Overbetuwe,Gelderland,51.96666700,5.81666700
Driemond,Amsterdam,Noord-Holland,52.30448000,5.01574000
Driewegen,Borsele,Zeeland,51.31666700,3.85000000
Driezum,Dantumadiel,Friesland,53.30000000,6.05000000
Drijber,Midden-Drenthe,Drenthe,52.78333300,6.53333300
Drimmelen,Drimmelen,Noord-Brabant,51.70000000,4.78333300
Drogeham,Achtkarspelen,Friesland,53.20000000,6.11666700
Drogteropslagen,De Wolden,Drenthe,52.61666700,6.50000000
Drongelen,Aalburg,Noord-Brabant,51.71666700,5.08333300
Dronryp,Menaldumadeel,Friesland,53.20000000,5.65000000
Dronten,Dronten,Flevoland,52.53333300,5.71666700
Drouwen,Borger-Odoorn,Drenthe,52.95000000,6.80000000
Drouwenermond,Borger-Odoorn,Drenthe,52.98333300,6.91666700
Drouwenerveen,Borger-Odoorn,Drenthe,52.96666700,6.85000000
Drunen,Heusden,Noord-Brabant,51.68333300,5.16666700
Druten,Druten,Gelderland,51.88333300,5.61666700
Duiven,Duiven,Gelderland,51.95000000,6.01666700
Duivendrecht,Ouder-Amstel,Noord-Holland,52.33333300,4.91666700
Duizel,Eersel,Noord-Brabant,51.36666700,5.30000000
Dussen,Werkendam,Noord-Brabant,51.73333300,5.00000000
Dwingeloo,Westerveld,Drenthe,52.83333300,6.36666700
Eagum,Boarnsterhim,Friesland,53.13333330,5.83333330
Earnewâld,Tytsjerksteradiel,Friesland,53.13333330,5.93333330
Easterein,Littenseradiel,Friesland,53.40420000,5.37640000
Easterlittens,Littenseradiel,Friesland,53.13333330,5.65000000
Eastermar,Tytsjerksteradiel,Friesland,53.16666670,6.05000000
Easterwierrum,Littenseradiel,Friesland,53.11666670,5.73333330
Echt,Echt-Susteren,Limburg,51.10000000,5.88333300
Echteld,Neder-Betuwe,Gelderland,51.91666700,5.50000000
Echten,De Wolden,Drenthe,52.86666700,5.80000000
Echten,Lemsterland,Friesland,52.86666700,5.80000000
Echtenerbrug,Lemsterland,Friesland,52.86666700,5.81666700
Eck en Wiel,Buren,Gelderland,51.96666700,5.45000000
Eckelrade,Margraten,Limburg,50.80000000,5.76666700
Edam,Edam-Volendam,Noord-Holland,52.51666700,5.05000000
Ede,Ede,Gelderland,52.03333300,5.66666700
Ederveen,Ede,Gelderland,52.06666700,5.58333300
Ee,Dongeradeel,Friesland,53.33333300,6.10000000
Eede,Sluis,Zeeland,51.25000000,3.45000000
Eefde,Lochem,Gelderland,52.16666700,6.23333300
Eelde,Tynaarlo,Drenthe,53.13333300,6.56666700
Eelderwolde,Tynaarlo,Drenthe,53.18333300,6.55000000
Eemdijk,Bunschoten,Utrecht,52.25000000,5.33333300
Eemnes,Eemnes,Utrecht,52.25000000,5.26666700
Eemshaven,Eemsmond,Groningen,53.44833333,6.83111111
Een,Noordenveld,Drenthe,53.06666700,6.40000000
Een West,Noordenveld,Drenthe,53.08333330,6.33333330
Eenrum,De Marne,Groningen,53.36666700,6.46666700
Eenum,Loppersum,Groningen,53.33333300,6.78333300
Eerbeek,Brummen,Gelderland,52.10000000,6.06666700
Eersel,Eersel,Noord-Brabant,51.36666700,5.31666700
Eerste Exloërmond,Borger-Odoorn,Drenthe,52.95000000,6.96666670
Ees,Borger-Odoorn,Drenthe,52.91666700,6.81666700
Eesergroen,Borger-Odoorn,Drenthe,52.88333300,6.78333300
Eeserveen,Borger-Odoorn,Drenthe,52.86666700,6.76666700
Eesterga,Lemsterland,Friesland,52.86666700,5.73333300
Eesveen,Steenwijkerland,Overijssel,52.81666700,6.13333300
Eethen,Aalburg,Noord-Brabant,51.73333300,5.08333300
Eext,Aa en Hunze,Drenthe,53.01666700,6.73333300
Eexterveen,Aa en Hunze,Drenthe,53.05000000,6.80000000
Eexterveensche kanaal,Aa en Hunze,Drenthe,53.05000000,6.83333330
Eexterzandvoort,Aa en Hunze,Drenthe,53.03333300,6.78333300
Egchel,Peel en Maas,Limburg,51.31666700,5.96666700
Egmond aan Den Hoef,Bergen,Noord-Holland,52.61666700,4.65000000
Egmond aan Zee,Bergen,Noord-Holland,52.61666700,4.63333300
Egmond-Binnen,Bergen,Noord-Holland,52.60000000,4.65000000
Eibergen,Berkelland,Gelderland,52.10000000,6.65000000
Eijsden,Eijsden,Limburg,50.78333300,5.70000000
Eindhoven,Eindhoven,Noord-Brabant,51.45000000,5.46666700
Einighausen,Sittard-Geleen,Limburg,51.00000000,5.83333300
Ekehaar,Aa en Hunze,Drenthe,52.95000000,6.60000000
Elahuizen,Gaasterlân-Sleat,Friesland,52.93333300,5.53333300
Elburg,Elburg,Gelderland,52.45000000,5.83333300
Eldersloo,Aa en Hunze,Drenthe,52.96666700,6.61666700
Eleveld,Aa en Hunze,Drenthe,52.95000000,6.58333300
Elim,Hoogeveen,Drenthe,52.68333300,6.58333300
Elkenrade,Gulpen-Wittem,Limburg,50.83333300,5.91666700
Ell,Leudal,Limburg,51.21666700,5.80000000
Ellecom,Rheden,Gelderland,52.03333300,6.10000000
Ellemeet,Schouwen-Duiveland,Zeeland,51.73333300,3.83333300
Ellertshaar,Borger-Odoorn,Drenthe,52.90000000,6.73333300
Ellewoutsdijk,Borsele,Zeeland,51.38333300,3.81666700
Elp,Midden-Drenthe,Drenthe,52.88333300,6.65000000
Elsendorp,Gemert-Bakel,Noord-Brabant,51.58333300,5.76666700
Elshout,Heusden,Noord-Brabant,51.69916667,5.14500000
Elsloo,Ooststellingwerf,Friesland,52.94270000,6.23820000
Elsloo,Stein,Limburg,50.95000000,5.76666700
Elspeet,Nunspeet,Gelderland,52.30000000,5.78333300
Elst,Overbetuwe,Gelderland,51.91666700,5.85000000
Elst,Rhenen,Utrecht,51.91666700,5.85000000
Emmeloord,Noordoostpolder,Flevoland,52.71666700,5.76666700
Emmen,Emmen,Drenthe,52.78333300,6.90000000
Emmer-Compascuum,Emmen,Drenthe,52.81666700,7.05000000
Empe,Brummen,Gelderland,52.15000000,6.15000000
Emst,Epe,Gelderland,52.31666700,5.98333300
Engwierum,Dongeradeel,Friesland,53.31666700,6.13333300
Enkhuizen,Enkhuizen,Noord-Holland,52.71666700,5.28333300
Ens,Noordoostpolder,Flevoland,52.63333300,5.83333300
Enschede,Enschede,Overijssel,52.21666700,6.90000000
Enspijk,Geldermalsen,Gelderland,51.88333300,5.21666700
Enter,Wierden,Overijssel,52.30000000,6.58333300
Enumatil,Leek,Groningen,53.21666700,6.41666700
Epe,Epe,Gelderland,52.35000000,5.98333300
Epen,Gulpen-Wittem,Limburg,50.76666700,5.91666700
Eppenhuizen,Eemsmond,Groningen,53.38333300,6.70000000
Epse,Lochem,Gelderland,52.21666700,6.20000000
Erica,Emmen,Drenthe,52.71666700,6.93333300
Erichem,Buren,Gelderland,51.90000000,5.35000000
Erlecom,Ubbergen,Gelderland,51.85000000,5.96666700
Erm,Coevorden,Drenthe,52.75000000,6.81666700
Ermelo,Ermelo,Gelderland,52.30000000,5.61666700
Erp,Veghel,Noord-Brabant,51.60000000,5.61666700
Esbeek,Hilvarenbeek,Noord-Brabant,51.46666700,5.13333300
Esch,Haaren,Noord-Brabant,51.61666700,5.30000000
Escharen,Grave,Noord-Brabant,51.73333300,5.75000000
Espel,Noordoostpolder,Flevoland,52.71666700,5.65000000
Est,Neerijnen,Gelderland,51.85000000,5.31666700
Etten,Oude IJsselstreek,Gelderland,51.91666700,6.33333300
Etten-Leur,Etten-Leur,Noord-Brabant,51.56958000,4.63577000
Europoort,Rotterdam,Zuid-Holland,51.94333300,4.14250000
Eursinge,De Wolden,Drenthe,52.78333330,6.45000000
Eursinge,Midden-Drenthe,Drenthe,52.83750000,6.60690000
Everdingen,Vianen,Utrecht,51.96666700,5.15000000
Evertsoord,Horst aan de Maas,Limburg,51.40000000,5.95000000
Ewijk,Beuningen,Gelderland,51.76666700,5.76666700
Exloërveen,Borger-Odoorn,Drenthe,52.90000000,6.90000000
Exloo,Borger-Odoorn,Drenthe,52.88333300,6.86666700
Exmorra,Wûnseradiel,Friesland,53.05000000,5.46666700
Eygelshoven,Kerkrade,Limburg,50.90000000,6.05000000
Eys,Gulpen-Wittem,Limburg,50.83333300,5.93333300
Ezinge,Winsum,Groningen,53.31666700,6.45000000
Farmsum,Delfzijl,Groningen,53.31666700,6.93333300
Feanwâlden,Dantumadiel,Friesland,53.23333300,6.00000000
Feerwerd,Winsum,Groningen,53.30000000,6.46666700
Feinsum,Leeuwarderadeel,Friesland,53.28333300,5.75000000
Ferwert,Ferwerderadiel,Friesland,53.33333330,5.83333330
Ferwoude,Wûnseradiel,Friesland,53.01666700,5.43333300
Fijnaart,Moerdijk,Noord-Brabant,51.63333300,4.46666700
Finsterwolde,Oldambt,Groningen,53.20000000,7.08333300
Firdgum,Franekeradeel,Friesland,53.25000000,5.56666700
Fleringen,Tubbergen,Overijssel,52.38333300,6.80000000
Fluitenberg,Hoogeveen,Drenthe,52.73333300,6.45000000
Fochteloo,Ooststellingwerf,Friesland,52.98333300,6.33333300
Follega,Lemsterland,Friesland,52.88333300,5.73333300
Folsgare,Wymbritseradiel,Friesland,53.03333300,5.60000000
Formerum,Terschelling,Friesland,53.38333300,5.31666700
Foudgum,Dongeradeel,Friesland,53.35000000,5.95000000
Foxhol,Hoogezand-Sappemeer,Groningen,53.16666700,6.71666700
Foxwolde,Noordenveld,Drenthe,53.15000000,6.45000000
Franeker,Franekeradeel,Friesland,53.20000000,5.53333300
Frederiksoord,Westerveld,Drenthe,52.85000000,6.18333300
Friens,Boarnsterhim,Friesland,53.10000000,5.80000000
Frieschepalen,Opsterland,Friesland,53.11666700,6.20000000
Froombosch,Slochteren,Groningen,53.20000000,6.78333300
Gaanderen,Doetinchem,Gelderland,51.93333300,6.35000000
Gaast,Wûnseradiel,Friesland,52.90000000,5.90000000
Gaastmeer,Wymbritseradiel,Friesland,52.96666700,5.55000000
Galder,Alphen-Chaam,Noord-Brabant,51.51666700,4.78333300
Gameren,Zaltbommel,Gelderland,51.80000000,5.20000000
Gapinge,Veere,Zeeland,51.55000000,3.61666700
Garderen,Barneveld,Gelderland,52.23333300,5.71666700
Garmerwolde,Ten Boer,Groningen,53.25000000,6.65000000
Garminge,Midden-Drenthe,Drenthe,52.81666700,6.63333300
Garnwerd,Winsum,Groningen,53.30000000,6.50000000
Garrelsweer,Loppersum,Groningen,53.30000000,6.78333300
Garsthuizen,Loppersum,Groningen,53.36666700,6.71666700
Garyp,Tytsjerksteradiel,Friesland,53.16666670,5.96666670
Gassel,Grave,Noord-Brabant,51.73333300,5.78333300
Gasselte,Aa en Hunze,Drenthe,52.96666700,6.78333300
Gasselternijveen,Aa en Hunze,Drenthe,52.98333300,6.85000000
Gasselternijveenschemond,Aa en Hunze,Drenthe,52.98333300,6.93333300
Gastel,Cranendonck,Noord-Brabant,51.28333300,5.55000000
Gasteren,Aa en Hunze,Drenthe,53.03333300,6.66666700
Gauw,Wymbritseradiel,Friesland,53.06666700,5.71666700
Geelbroek,Aa en Hunze,Drenthe,52.95000000,6.56666700
Geersdijk,Noord-Beveland,Zeeland,51.56666700,3.76666700
Geertruidenberg,Geertruidenberg,Noord-Brabant,51.70000000,4.86666700
Geervliet,Bernisse,Zuid-Holland,51.86666700,4.26666700
Gees,Coevorden,Drenthe,52.75000000,6.68333300
Geesbrug,Coevorden,Drenthe,52.73333300,6.63333300
Geesteren,Berkelland,Gelderland,52.41666700,6.73333300
Geesteren,Tubbergen,Overijssel,52.41666700,6.73333300
Geeuwenbrug,Westerveld,Drenthe,52.86666700,6.36666700
Geffen,Maasdonk,Noord-Brabant,51.73333300,5.46666700
Geldermalsen,Geldermalsen,Gelderland,51.88333300,5.30000000
Gelderswoude,Zoeterwoude,Zuid-Holland,52.10000000,4.53333300
Geldrop,Geldrop-Mierlo,Noord-Brabant,51.43333300,5.56666700
Geleen,Sittard-Geleen,Limburg,50.96666700,5.83333300
Gellicum,Geldermalsen,Gelderland,51.88333300,5.15000000
Gelselaar,Berkelland,Gelderland,52.16666700,6.53333300
Gemert,Gemert-Bakel,Noord-Brabant,51.55000000,5.70000000
Gemonde,Sint-Michielsgestel,Noord-Brabant,51.61666700,5.35000000
Genderen,Aalburg,Noord-Brabant,51.73333300,5.11666700
Gendringen,Oude IJsselstreek,Gelderland,51.86666700,6.38333300
Gendt,Lingewaard,Gelderland,51.88333300,5.96666700
Genemuiden,Zwartewaterland,Overijssel,52.63333300,6.05000000
Gennep,Gennep,Limburg,51.69830000,5.97360000
Gerkesklooster,Achtkarspelen,Friesland,53.23333300,6.20000000
Gersloot,Heerenveen,Friesland,53.00000000,5.96666700
Geulle,Meerssen,Limburg,50.90000000,5.71666700
Geysteren,Horst aan de Maas,Limburg,51.55000000,6.05000000
Giesbeek,Zevenaar,Gelderland,52.00000000,6.06666700
Giessen,Woudrichem,Noord-Brabant,51.78333300,5.03333300
Giessenburg,Giessenlanden,Zuid-Holland,51.85000000,4.88333300
Gieten,Aa en Hunze,Drenthe,53.01666700,6.76666700
Gieterveen,Aa en Hunze,Drenthe,53.03333300,6.83333300
Giethmen,Ommen,Overijssel,52.50000000,6.40000000
Giethoorn,Steenwijkerland,Overijssel,52.68333300,6.23333300
Gilze,Gilze en Rijen,Noord-Brabant,51.55000000,4.95000000
Ginnum,Ferwerderadiel,Friesland,53.31666670,5.88333330
Glane,Losser,Overijssel,52.23333300,7.00000000
Glimmen,Haren,Groningen,53.13333300,6.63333300
Godlinze,Delfzijl,Groningen,53.36666700,6.81666700
Goedereede,Goedereede,Zuid-Holland,51.81666700,3.98333300
Goënga,Wymbritseradiel,Friesland,53.05000000,5.70000000
Goëngahuizen,Smallingerland,Friesland,53.08333330,5.88333330
Goes,Goes,Zeeland,51.50000000,3.88333300
Goingarijp,Skarsterlân,Friesland,53.01666700,5.76666700
Goirle,Goirle,Noord-Brabant,51.51666700,5.06666700
Goor,Hof van Twente,Overijssel,52.23330000,6.58610000
Gorinchem,Gorinchem,Zuid-Holland,51.83333300,4.96666700
Gorredijk,Opsterland,Friesland,53.00000000,6.06666700
Gorssel,Lochem,Gelderland,52.20000000,6.20000000
Gouda,Gouda,Zuid-Holland,52.02000000,4.70000000
Gouderak,Ouderkerk,Zuid-Holland,51.98333300,4.68333300
Goudriaan,Graafstroom,Zuid-Holland,51.90000000,4.90000000
Goudswaard,Korendijk,Zuid-Holland,51.80000000,4.28333300
Goutum,Leeuwarden,Friesland,53.18333300,5.80000000
Graauw,Hulst,Zeeland,51.33333300,4.10000000
Grafhorst,Kampen,Overijssel,52.58333300,5.93333300
Graft,Graft-De Rijp,Noord-Holland,52.56666700,4.83333300
Gramsbergen,Hardenberg,Overijssel,52.61666700,6.68333300
Grashoek,Helden,Limburg,51.36666700,5.95000000
Grathem,Leudal,Limburg,51.20000000,5.86666700
Grave,Grave,Noord-Brabant,51.76666700,5.73333300
Greonterp,Wymbritseradiel,Friesland,53.01666700,5.51666700
Grevenbicht,Sittard-Geleen,Limburg,51.03333300,5.78333300
Griendtsveen,Horst aan de Maas,Limburg,51.43333300,5.90000000
Grijpskerk,Zuidhorn,Groningen,53.26666700,6.30000000
Grijpskerke,Veere,Zeeland,51.53333300,3.56666700
Groede,Sluis,Zeeland,51.38333300,3.50000000
Groenekan,De Bilt,Utrecht,52.11666700,5.15000000
Groeningen,Boxmeer,Noord-Brabant,51.60000000,6.00000000
Groenlo,Oost Gelre,Gelderland,52.05000000,6.61666700
Groesbeek,Groesbeek,Gelderland,51.78333300,5.93333300
Groessen,Duiven,Gelderland,51.93333300,6.03333300
Groet,Bergen,Noord-Holland,52.71666700,4.66666700
Grolloo,Aa en Hunze,Drenthe,52.93333300,6.66666700
Groningen,Groningen,Groningen,53.21666700,6.55000000
Gronsveld,Eijsden,Limburg,50.81666700,5.73333300
Groot-Ammers,Liesveld,Zuid-Holland,51.91666700,4.81666700
Grootebroek,Stede Broec,Noord-Holland,52.70000000,5.21666700
Grootegast,Grootegast,Groningen,53.21666700,6.28333300
Grootschermer,Schermer,Noord-Holland,52.58333300,4.85000000
Grou,Boarnsterhim,Friesland,53.10000000,5.83333330
Grubbenvorst,Horst aan de Maas,Limburg,51.41666700,6.15000000
Gulpen,Gulpen-Wittem,Limburg,50.81666700,5.90000000
Guttecoven,Sittard-Geleen,Limburg,51.01666700,5.81666700
Gytsjerk,Tytsjerksteradiel,Friesland,53.23333330,5.88333330
Haaften,Neerijnen,Gelderland,51.81666700,5.21666700
Haaksbergen,Haaksbergen,Overijssel,52.15000000,6.73333300
Haalderen,Lingewaard,Gelderland,51.88333300,5.93333300
Haaren,Haaren,Noord-Brabant,51.60000000,5.23333300
Haarle,Tubbergen,Overijssel,52.40000000,6.83333300
Haarlem,Haarlem,Noord-Holland,52.38232510,4.63649789
Haarlemmerliede,Haarlemmerliede en Spaarnwoude,Noord-Holland,52.38333300,4.68333300
Haarlo,Berkelland,Gelderland,52.11666700,6.58333300
Haarsteeg,Heusden,Noord-Brabant,51.71666700,5.20000000
Haarzuilens,Utrecht,Utrecht,52.11666700,5.00000000
Haastrecht,Vlist,Zuid-Holland,52.00000000,4.78333300
Haelen,Leudal,Limburg,51.23333300,5.95000000
Hagestein,Vianen,Utrecht,51.98333300,5.11666700
Haghorst,Hilvarenbeek,Noord-Brabant,51.50000000,5.21666700
Haler,Leudal,Limburg,51.18333300,5.78333300
Halfweg,Haarlemmerliede en Spaarnwoude,Noord-Holland,52.38333300,4.75000000
Hall,Brummen,Gelderland,52.11170000,6.10140000
Halle,Bronckhorst,Gelderland,51.98333300,6.43333300
Hallum,Ferwerderadiel,Friesland,53.31666700,5.78333300
Halsteren,Bergen op Zoom,Noord-Brabant,51.53333300,4.26666700
Handel,Gemert-Bakel,Noord-Brabant,51.58333300,5.71666700
Hank,Werkendam,Noord-Brabant,51.73333300,4.90000000
Hansweert,Reimerswaal,Zeeland,51.45000000,4.00000000
Hantum,Dongeradeel,Friesland,53.36666700,5.96666700
Hantumeruitburen,Dongeradeel,Friesland,53.36666700,6.00000000
Hantumhuizen,Dongeradeel,Friesland,53.36666700,6.00000000
Hapert,Bladel,Noord-Brabant,51.36666700,5.25000000
Haps,Cuijk,Noord-Brabant,51.68333300,5.86666700
Harbrinkhoek,Tubbergen,Overijssel,52.38333300,6.71666700
Hardenberg,Hardenberg,Overijssel,52.56666700,6.61666700
Harderwijk,Harderwijk,Gelderland,52.35000000,5.63333300
Hardinxveld-Giessendam,Hardinxveld-Giessendam,Zuid-Holland,51.82252000,4.88248000
Haren,Haren,Groningen,53.17348000,6.60359000
Haren,Oss,Noord-Brabant,51.80000000,5.58333300
Harfsen,Lochem,Gelderland,52.20000000,6.30000000
Harich,Gaasterlân-Sleat,Friesland,52.90000000,5.56666700
Haringhuizen,Niedorp,Noord-Holland,52.77451000,4.82833000
Harkema,Achtkarspelen,Friesland,53.18333300,6.13333300
Harkstede,Slochteren,Groningen,53.21666700,6.70000000
Harlingen,Harlingen,Friesland,53.18333300,5.41666700
Harmelen,Woerden,Utrecht,52.08333300,4.96666700
Harreveld,Oost Gelre,Gelderland,51.98333300,6.51666700
Harskamp,Ede,Gelderland,52.13333300,5.75000000
Hartwerd,Wûnseradiel,Friesland,53.06666700,5.56666700
Haskerdijken,Skarsterlân,Friesland,53.00000000,5.86666700
Haskerhorne,Skarsterlân,Friesland,52.95000000,5.83333300
Hasselt,Zwartewaterland,Overijssel,52.59083300,6.09111100
Hattem,Hattem,Gelderland,52.46666700,6.06666700
Hattemerbroek,Oldebroek,Gelderland,52.46666700,6.03333300
Haule,Ooststellingwerf,Friesland,53.03333300,6.30000000
Haulerwijk,Ooststellingwerf,Friesland,53.06666700,6.33333300
Hauwert,Medemblik,Noord-Holland,52.71666700,5.10000000
Havelte,Westerveld,Drenthe,52.76666700,6.25000000
Havelterberg,Westerveld,Drenthe,52.80000000,6.21666700
Hazerswoude Dorp,Rijnwoude,Zuid-Holland,52.09675000,4.58268000
Hazerswoude Rijndijk,Rijnwoude,Zuid-Holland,52.12867000,4.58818000
Hedel,Maasdriel,Gelderland,51.75000000,5.26666700
Hee,Terschelling,Friesland,53.38333300,5.25000000
Heeg,Wymbritseradiel,Friesland,52.96860000,5.61080000
Heel,Maasgouw,Limburg,51.18333300,5.90000000
Heelsum,Renkum,Gelderland,51.98333300,5.75000000
Heelweg,Oude IJsselstreek,Gelderland,51.96666700,6.46666700
Heemserveen,Hardenberg,Overijssel,52.60000000,6.56666700
Heemskerk,Heemskerk,Noord-Holland,52.51666700,4.66666700
Heemstede,Heemstede,Noord-Holland,52.35000000,4.61666700
Heenvliet,Bernisse,Zuid-Holland,51.86666700,4.25000000
Heerde,Heerde,Gelderland,52.38333300,6.05000000
Heerenveen,Heerenveen,Friesland,52.95000000,5.93333300
Heerewaarden,Maasdriel,Gelderland,51.81666700,5.40000000
Heerhugowaard,Heerhugowaard,Noord-Holland,52.66666700,4.85000000
Heerjansdam,Zwijndrecht,Zuid-Holland,51.83333300,4.56666700
Heerle,Roosendaal,Noord-Brabant,51.51666700,4.36666700
Heerlen,Heerlen,Limburg,50.90000000,5.98333300
Heesch,Bernheze,Noord-Brabant,51.73333300,5.53333300
Heesselt,Neerijnen,Gelderland,51.81666700,5.35000000
Heeswijk-Dinther,Bernheze,Noord-Brabant,51.65000000,5.46666670
Heeten,Raalte,Overijssel,52.33333300,6.28333300
Heeze,Heeze-Leende,Noord-Brabant,51.38333300,5.56666700
Hegebeintum,Ferwerderadiel,Friesland,53.33333330,5.85000000
Hegelsom,Horst aan de Maas,Limburg,51.43333300,6.03333300
Hei- en Boeicop,Zederik,Zuid-Holland,51.95000000,5.10000000
Heibloem,Leudal,Limburg,51.30080000,5.89580000
Heide,Venray,Limburg,51.35000000,5.96666700
Heijen,Gennep,Limburg,51.68333300,5.98333300
Heijenrath,Gulpen-Wittem,Limburg,50.76666670,5.86666670
Heijningen,Moerdijk,Noord-Brabant,51.65000000,4.41666700
Heikant,Hulst,Zeeland,51.25083333,4.02472222
Heilig Landstichting,Groesbeek,Gelderland,51.81666700,5.90000000
Heiligerlee,Oldambt,Groningen,53.15000000,7.01666700
Heiloo,Heiloo,Noord-Holland,52.60000000,4.70000000
Heinenoord,Binnenmaas,Zuid-Holland,51.83333300,4.48333300
Heinkenszand,Borsele,Zeeland,51.48333330,3.81666670
Heino,Raalte,Overijssel,52.43333300,6.23333300
Hekelingen,Spijkenisse,Zuid-Holland,51.83333300,4.35000000
Hekendorp,Oudewater,Utrecht,52.01666700,4.81666700
Helden,Peel en Maas,Limburg,51.31666700,6.00000000
Helenaveen,Deurne,Noord-Brabant,51.40000000,5.91666700
Hellendoorn,Hellendoorn,Overijssel,52.38333300,6.45000000
Hellevoetsluis,Hellevoetsluis,Zuid-Holland,51.83333300,4.13333300
Hellouw,Neerijnen,Gelderland,51.83333300,5.18333300
Hellum,Slochteren,Groningen,53.23333300,6.85000000
Helmond,Helmond,Noord-Brabant,51.48333300,5.66666700
Helvoirt,Haaren,Noord-Brabant,51.63333300,5.23333300
Hem,Drechterland,Noord-Holland,52.66666700,5.18333300
Hemelum,Nijefurd,Friesland,52.88333300,5.45000000
Hemmen,Overbetuwe,Gelderland,51.93333300,5.70000000
Hempens,Leeuwarden,Friesland,53.18333300,5.83333300
Hemrik,Opsterland,Friesland,53.03333300,6.13333300
Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,Zuid-Holland,51.85000000,4.63333300
Hengelo,Bronckhorst,Gelderland,52.26580000,6.79310000
Hengelo,Hengelo,Overijssel,52.26580000,6.79310000
Hengevelde,Hof van Twente,Overijssel,52.20000000,6.63333300
Hengstdijk,Hulst,Zeeland,51.35000000,4.00000000
Hensbroek,Koggenland,Noord-Holland,52.65000000,4.88333300
Herbaijum,Franekeradeel,Friesland,53.18333300,5.50000000
Herkenbosch,Roerdalen,Limburg,51.15000000,6.06666700
Herkingen,Dirksland,Zuid-Holland,51.71666700,4.08333300
